NAME,fuelType,registrations,min_price,max_price,avg_price,med_price,frac_bev_nearby,frac_ice_nearby,frac_phev_nearby,frac_other_nearby,frac_nearby
AUDI A7,PHEV,11,66188.0,84350.0,74379.16666666667,74993.5,0.1642191238346671,0.5426944971537002,0.2930863790116327,8.250144377526606e-05,0.2930863790116327
AUDI A7,ICE,74,57454.0,138500.0,88231.69206349207,67200.0,0.26963834337935055,0.4597268131440793,0.2706348434765701,4.860976083997667e-05,0.4597268131440793
AUDI A8,PHEV,51,104010.0,124450.0,111891.5,109575.0,0.2820469228153689,0.4053043182590955,0.3126487589255355,0.0,0.3126487589255355
AUDI A8,ICE,62,90600.0,157350.0,111978.52426739926,99650.0,0.36994291387441053,0.24497393894266567,0.3850831471829238,0.0,0.24497393894266567
AUDI E-TRON GT,BEV,71,108900.0,160500.0,135725.0,136750.0,0.23338406900050734,0.578386605783866,0.18822932521562658,0.0,0.23338406900050734
BMW 7ER,PHEV,36,126500.0,148750.0,138830.0,137400.0,0.23338406900050734,0.578386605783866,0.18822932521562658,0.0,0.18822932521562658
BMW 7ER,BEV,51,115700.0,183150.0,146043.75,143500.0,0.288135593220339,0.5259533898305084,0.18591101694915255,0.0,0.288135593220339
BMW 7ER,ICE,49,118400.0,129300.0,124433.33333333333,125600.0,0.13787638668779714,0.5347068145800317,0.32741679873217117,0.0,0.5347068145800317
BMW 8ER,ICE,89,105000.0,193400.0,123197.22222222222,116200.0,0.295032310177706,0.36348949919224555,0.3414781906300485,0.0,0.36348949919224555
HYUNDAI G90,ICE,54,112180.0,126180.0,118180.0,116180.0,0.295032310177706,0.36348949919224555,0.3414781906300485,0.0,0.36348949919224555
LOTUS EMEYA,BEV,6,107990.0,160990.0,132390.0,129990.0,0.15065432492818384,0.7050750079795723,0.14427066709224384,0.0,0.15065432492818384
LUCID AIR,BEV,4,85000.0,250000.0,141450.0,115400.0,0.2531185031185031,0.4539154539154539,0.29296604296604295,0.0,0.2531185031185031
MERCEDES S-KLASSE,PHEV,60,127318.0,210029.0,178224.88461538462,177360.5,0.1054421768707483,0.7346938775510204,0.1598639455782313,0.0,0.1598639455782313
MERCEDES S-KLASSE,BEV,137,109551.0,247401.0,142136.47222222222,139611.0,0.2569832402234637,0.535754189944134,0.20726256983240224,0.0,0.2569832402234637
MERCEDES S-KLASSE,ICE,192,113365.0,238488.0,142473.84126984127,138593.0,0.2535832414553473,0.541896361631753,0.20452039691289967,0.0,0.541896361631753
PORSCHE PANAMERA,PHEV,81,130400.0,247400.0,184200.0,174950.0,0.10442678774120318,0.735527809307605,0.16004540295119182,0.0,0.16004540295119182
PORSCHE PANAMERA,ICE,24,116400.0,171200.0,136000.0,120400.0,0.09710003258390355,0.5663082437275986,0.3365917236884979,0.0,0.5663082437275986
PORSCHE TAYCAN,BEV,187,102600.0,241100.0,147211.7037037037,127522.0,0.1743457427202359,0.659049023221526,0.1666052340582381,0.0,0.1743457427202359
ROLLS ROYCE SPECTRE,BEV,2,389000.0,389000.0,389000.0,389000.0,0.029411764705882353,0.9705882352941176,0.0,0.0,0.029411764705882353
TESLA MODEL S,BEV,1,69019.0,145420.0,94202.9375,85450.0,0.1864406779661017,0.4211323476379373,0.392426974395961,0.000144248106743599,0.1864406779661017
ALFA ROMEO JUNIOR,BEV,9,39500.0,48500.0,43750.0,43500.0,0.18426940897276528,0.7365578031415979,0.0791727878856368,0.0,0.18426940897276528
ALFA ROMEO JUNIOR,ICE,269,30450.0,40000.0,35480.0,36500.0,0.10313335017215479,0.8616912380521915,0.035175411775653725,0.0,0.8616912380521915
ALFA ROMEO STELVIO,ICE,118,60600.0,71100.0,65933.33333333333,66100.0,0.2724142025887662,0.48421802636266476,0.24336777104856905,4.750029687685548e-05,0.48421802636266476
ALFA ROMEO TONALE,PHEV,1,51600.0,62100.0,56933.333333333336,57100.0,0.2682871260341464,0.5825679581927179,0.14914491577313568,0.0,0.14914491577313568
ALFA ROMEO TONALE,ICE,87,40800.0,52800.0,46883.333333333336,47050.0,0.21858342145585602,0.670846192027969,0.11057038651617498,0.0,0.670846192027969
AUDI Q2,ICE,896,29000.0,50900.0,41163.88888888889,39000.0,0.17710408366533864,0.7709661354581673,0.051929780876494025,0.0,0.7709661354581673
AUDI Q4,BEV,1163,46150.0,68570.0,57176.42857142857,57275.0,0.2648648648648649,0.5880800280800281,0.14705510705510705,0.0,0.2648648648648649
AUDI Q6,BEV,970,63500.0,107200.0,86058.33333333333,85900.0,0.1864406779661017,0.4211323476379373,0.392426974395961,0.000144248106743599,0.1864406779661017
BMW IX,BEV,253,83500.0,124900.0,100471.42857142857,99900.0,0.4215214932126697,0.2791289592760181,0.2993495475113122,0.0,0.4215214932126697
BMW X1,PHEV,687,51000.0,61290.0,55847.5,55550.0,0.3167470436678338,0.5252031446125388,0.1580498117196274,0.0,0.1580498117196274
BMW X1,BEV,1645,48800.0,63690.0,55947.5,56245.0,0.27935290896069426,0.5529061521394166,0.16774093889988906,0.0,0.27935290896069426
BMW X1,ICE,1165,44600.0,64800.0,53004.87980769231,52025.0,0.30008190217808606,0.537982135087405,0.16193596273450897,0.0,0.537982135087405
BMW X2,BEV,257,50300.0,63960.0,57435.0,57225.0,0.263997537049217,0.5894289032871997,0.14657355966358332,0.0,0.263997537049217
BMW X2,ICE,292,48100.0,68760.0,55816.444444444445,54230.0,0.29875223754869956,0.5420922396546278,0.15915552279667264,0.0,0.5420922396546278
BYD ATTO 2,BEV,55,31990.0,34990.0,33490.0,33490.0,0.10415622807896582,0.8800481010121255,0.01579567090890871,0.0,0.10415622807896582
BYD ATTO 3,BEV,30,38990.0,40990.0,39990.0,39990.0,0.17813249945458512,0.7660048966135796,0.05586260393183526,0.0,0.17813249945458512
BYD SEAL U,PHEV,385,39990.0,45990.0,42990.0,42990.0,0.1839128377312572,0.7371498749352142,0.07893728733352863,0.0,0.07893728733352863
BYD SEAL U,BEV,51,42990.0,46490.0,44740.0,44740.0,0.18840388007054673,0.7303130511463845,0.08128306878306878,0.0,0.18840388007054673
BYD SEALION 7,BEV,155,49990.0,60990.0,55656.666666666664,55990.0,0.27815764084063926,0.5548191339122167,0.16702322524714402,0.0,0.27815764084063926
BYD TANG,BEV,9,75000.0,75000.0,75000.0,75000.0,0.1642191238346671,0.5426944971537002,0.2930863790116327,8.250144377526606e-05,0.1642191238346671
