NAME,fuelType,min_price,max_price,avg_price,med_price
HYUNDAI I 30,Super,27990,35150,31710.0,31820.0
HYUNDAI I10,Super,16990,22190,19838.75,19575.0
HYUNDAI I20,Super,20300,28000,24875.0,25650.0
HYUNDAI I30,Super,27990,35150,31710.0,31820.0
HYUNDAI INSTER,Strom,23900,30100,26966.666666666668,26650.0
HYUNDAI IONIQ 5,Strom,43900,74900,57534.61538461538,58150.0
HYUNDAI IONIQ 6,Strom,43900,75000,57400.0,57100.0
HYUNDAI IONIQ 9,Strom,68500,86750,79800.0,81500.0
HYUNDAI IONIQ5,Strom,43900,74900,57534.61538461538,58150.0
HYUNDAI IONIQ6,Strom,43900,75000,57400.0,57100.0
HYUNDAI KONA,Strom,37990.0,48490.0,43347.142857142855,43490.0
HYUNDAI KONA,Super,26900.0,40600.0,33635.71428571428,33650.0
HYUNDAI KONA,Super / Strom,32950.0,39950.0,36670.0,36750.0
HYUNDAI SANTA FE,Super / Strom,59750,68150,64316.666666666664,64150.0
HYUNDAI STARIA,Super / Strom,49500,58950,54483.333333333336,55000.0
HYUNDAI TUCSON,Diesel,39600.0,49090.0,44600.0,44710.0
HYUNDAI TUCSON,Super,35740.0,47740.0,43171.25,44500.0
HYUNDAI TUCSON,Super / Strom,40740.0,54050.0,48623.57142857143,48900.0
INEOS GRENADIER,Diesel,71140.0,150685.0,85269.5,81890.0
INEOS GRENADIER,Super Plus,71140.0,150685.0,85269.5,81890.0
JEEP AVENGER,Strom,38500.0,43000.0,40666.666666666664,40500.0
JEEP AVENGER,Super,25600.0,39000.0,31088.88888888889,29600.0
JEEP COMPASS,Strom,50400.0,50400.0,50400.0,50400.0
JEEP COMPASS,Super,39900.0,44400.0,42525.0,42900.0
JEEP COMPASS,Super / Strom,50200.0,54700.0,52866.666666666664,53700.0
JEEP GRAND CHEROKEE,Super / Strom,99900,99900,99900.0,99900.0
JEEP RENEGADE,Super,31100.0,35100.0,33475.0,33850.0
JEEP RENEGADE,Super / Strom,45700.0,45700.0,45700.0,45700.0
JEEP WRANGLER,Super / Strom,81500,83500,82500.0,82500.0
KGM ACTYON,Super,35790,44450,40252.857142857145,40190.0
KGM KORANDO,Super,22990,39890,32202.5,32490.0
KGM REXTON,Diesel,47490,55890,52850.0,53390.0
KGM TIVOLI,Super,18990,31900,26690.0,27450.0
KGM TORRES,Strom,41990.0,48990.0,45323.333333333336,44990.0
KGM TORRES,Super,28990.0,46090.0,38526.42857142857,39490.0
KIA CEED,Super,27390,33990,30034.444444444445,29690.0
KIA EV3,Strom,35990,48690,41610.0,41390.0
KIA EV6,Strom,44990,69990,54634.444444444445,53990.0
KIA EV9,Strom,61990,90980,76852.22222222222,76490.0
KIA NIRO,Strom,34290.0,47590.0,41360.58823529412,41290.0
KIA NIRO,Super / Strom,26310.0,45090.0,36729.25806451613,37790.0
KIA PICANTO,Super,17850,22550,20250.0,20550.0
KIA SORENTO,Diesel,55190.0,65180.0,61851.666666666664,62685.0
KIA SORENTO,Super / Strom,53690.0,69130.0,62598.75,63385.0
KIA SPORTAGE,Diesel,36550.0,48050.0,41967.77777777778,42550.0
KIA SPORTAGE,Super,34690.0,47790.0,41056.0,40740.0
KIA SPORTAGE,Super / Strom,38990.0,52190.0,45754.444444444445,45920.0
KIA STONIC,Super,22690,29880,26624.444444444445,26950.0
LAMBORGHINI URUS,Super Plus,232690.0,265200.0,248945.0,248945.0
LAMBORGHINI URUS,Super Plus / Strom,300000.0,300000.0,300000.0,300000.0
LAND ROVER DEFENDER,Diesel,67500.0,135300.0,93192.5925925926,91000.0
LAND ROVER DEFENDER,Super,110000.0,200700.0,150100.0,144400.0
LAND ROVER DEFENDER,Super / Strom,82200.0,121200.0,98400.0,95100.0
LAND ROVER DISCOVERY,Diesel,54200.0,113100.0,80707.69230769231,83200.0
LAND ROVER DISCOVERY,Super / Strom,62300.0,76600.0,69433.33333333333,69400.0
LAND ROVER DISCOVERY SPORT,Diesel,54200.0,71600.0,61760.0,61300.0
LAND ROVER DISCOVERY SPORT,Super / Strom,62300.0,76600.0,69433.33333333333,69400.0
LAND ROVER RANGE ROVER,Diesel,54700.0,178800.0,115208.0,102500.0
LAND ROVER RANGE ROVER,Super,50500.0,285500.0,179264.70588235295,187200.0
LAND ROVER RANGE ROVER,Super / Strom,61500.0,225500.0,131557.8947368421,123500.0
LAND ROVER RANGE ROVER EVOQUE,Diesel,54700.0,73900.0,62920.0,62600.0
